Implementation,Compile,Error
human_eval_002_9.mlw,"[""unbound function or predicate symbol '(!)'""]","unbound function or predicate symbol '(!)'
"
human_eval_052_4.mlw,[],
human_eval_052_1.mlw,[],
human_eval_042_7.mlw,[],
human_eval_004_4.mlw,"[""unbound function or predicate symbol '(+.)'""]","unbound function or predicate symbol '(+.)'
"
human_eval_005_1.mlw,[],
human_eval_151_6.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_031_5.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_053_10.mlw,[],
human_eval_008_5.mlw,[],
human_eval_042_9.mlw,"[""unbound function or predicate symbol 'append'""]","unbound function or predicate symbol 'append'
"
human_eval_031_7.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_005_7.mlw,"[""unbound function or predicate symbol '(-)'""]","unbound function or predicate symbol '(-)'
"
human_eval_030_8.mlw,[],
human_eval_097_5.mlw,"[""illegal character '""]","illegal character '
"
human_eval_057_3.mlw,[],
human_eval_030_7.mlw,"[""Type mismatch between list.List.list int and list.List.list 'xi""]","Type mismatch between list.List.list int and list.List.list 'xi
"
human_eval_000_7.mlw,"[""unbound function or predicate symbol '(-._)'""]","unbound function or predicate symbol '(-._)'
"
human_eval_035_2.mlw,['syntax error'],"syntax error
"
human_eval_035_1.mlw,['syntax error'],"syntax error
"
human_eval_152_8.mlw,['syntax error'],"syntax error
"
human_eval_085_1.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_042_3.mlw,"[""Type mismatch between list.List.list 'a and list.List.list int""]","Type mismatch between list.List.list 'a and list.List.list int
"
human_eval_020_5.mlw,"[""unbound function or predicate symbol 'abs'""]","unbound function or predicate symbol 'abs'
"
human_eval_031_3.mlw,"[""unbound function or predicate symbol 'mod'""]","unbound function or predicate symbol 'mod'
"
human_eval_139_2.mlw,[],
human_eval_000_8.mlw,"['This expression has type int, but is expected to have type real']","This expression has type int, but is expected to have type real
"
